s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 4.7113981E+000, 1.2819082E+004,-6.4361161E+002, 1.9152868E+002,-5.6297469E+001,-8.4492200E-001, 0.0000000E+000, 0.0000000E+000, 1.2657695E+004, 1.2309857E+004, 0.0000000E+000, 2.7009765E-001, 0.0000000E+000
 4.8014936E+000, 1.2795755E+004,-3.4084880E+002, 1.9536178E+002,-5.6591242E+001,-8.4559113E-001, 0.0000000E+000, 0.0000000E+000, 1.2301596E+004, 1.2592831E+004, 0.0000000E+000, 2.7010485E-001, 0.0000000E+000
 4.8915892E+000, 1.2634180E+004,-2.6364487E+002, 1.9324251E+002,-5.6835671E+001,-8.4629150E-001, 0.0000000E+000, 0.0000000E+000, 1.2586332E+004, 1.2506095E+004, 0.0000000E+000, 2.7011087E-001, 0.0000000E+000
 4.9816847E+000, 1.2511357E+004,-4.9166056E+002, 1.8646544E+002,-5.7248549E+001,-8.4694168E-001, 0.0000000E+000, 0.0000000E+000, 1.2498552E+004, 1.2148066E+004, 0.0000000E+000, 2.7011589E-001, 0.0000000E+000
 5.0717802E+000, 1.2482902E+004,-3.8941499E+002, 1.8693910E+002,-5.7436852E+001,-8.4744135E-001, 0.0000000E+000, 0.0000000E+000, 1.2140033E+004, 1.2222142E+004, 0.0000000E+000, 2.7012008E-001, 0.0000000E+000
 5.1618757E+000, 1.2476542E+004,-5.5955056E+002, 1.8307957E+002,-5.7704620E+001,-8.4775110E-001, 0.0000000E+000, 0.0000000E+000, 1.2213103E+004, 1.2041518E+004, 0.0000000E+000, 2.7012359E-001, 0.0000000E+000
 5.2519712E+000, 1.2457973E+004,-8.9024832E+002, 1.7599895E+002,-5.8086047E+001,-8.4789011E-001, 0.0000000E+000, 0.0000000E+000, 1.2033063E+004, 1.1684789E+004, 0.0000000E+000, 2.7012651E-001, 0.0000000E+000
 5.3420668E+000, 1.2496836E+004,-9.1974159E+002, 1.7523981E+002,-5.8537947E+001,-8.4778078E-001, 0.0000000E+000, 0.0000000E+000, 1.1676031E+004, 1.1692949E+004, 0.0000000E+000, 2.7012896E-001, 0.0000000E+000
 5.4321623E+000, 1.2567750E+004,-8.0783765E+002, 1.7713262E+002,-5.9491546E+001,-8.4742099E-001, 0.0000000E+000, 0.0000000E+000, 1.1682088E+004, 1.1876706E+004, 0.0000000E+000, 2.7013100E-001, 0.0000000E+000
 5.5222578E+000, 1.2548936E+004,-1.0770032E+003, 1.7112175E+002,-6.1201479E+001,-8.4682874E-001, 0.0000000E+000, 0.0000000E+000, 1.1864892E+004, 1.1581007E+004, 0.0000000E+000, 2.7013270E-001, 0.0000000E+000
 5.6123533E+000, 1.2457220E+004,-1.0314488E+003, 1.6918723E+002,-6.3831115E+001,-8.4590811E-001, 0.0000000E+000, 0.0000000E+000, 1.1568297E+004, 1.1530281E+004, 0.0000000E+000, 2.7013413E-001, 0.0000000E+000
 5.7024493E+000, 1.2352590E+004,-1.2109056E+003, 1.6342402E+002,-6.7642207E+001,-8.4420229E-001, 0.0000000E+000, 0.0000000E+000, 1.1517094E+004, 1.1236622E+004, 0.0000000E+000, 2.7013531E-001, 0.0000000E+000
